# Train        Test        
   12.696579    12.357997 
   12.689675    12.361965 
   12.712392    12.346680 
   12.711676    12.346039 
   12.718146    12.374102 
   12.741051    12.396209 
   12.740812    12.366054 
   12.744988    12.460640 
   12.723675    12.439966 
   12.739071    12.532832 
   12.752486    12.424091 
   12.752709    12.499875 
   12.869692    12.523457 
   12.862051    12.500767 
   12.848054    12.504838 
   12.841702    12.404146 
   12.828612    12.431794 
   12.852745    12.331511 
   12.788259    12.334500 
   12.782031    12.416543 
   12.714351    12.398793 
   12.707048    12.426708 
   12.717362    12.395207 
   12.696204    12.380671 
   12.700267    12.355053 
   12.718822    12.372803 
   12.689790    12.400219 
   12.690310    12.383282 
   12.694654    12.383949 
   12.700267    12.402978 
   12.687252    12.388151 
   12.663983    12.360043 
   12.654212    12.313188 
   12.636984    12.337697 
   12.655610    12.297478 
   12.641142    12.322996 
   12.632913    12.330902 
   12.646151    12.318580 
   12.661364    12.303812 
   12.655392    12.301555 
   12.671580    12.306735 
   12.663240    12.306446 
   12.685233    12.294142 
   12.653275    12.431645 
   12.691167    12.436137 
   12.687806    12.431493 
   12.732770    12.356799 
   12.744664    12.353876 
   12.729080    12.330515 
   12.719673    12.343300 
   12.725295    12.328174 
   12.705149    12.346156 
   12.710108    12.333698 
   12.738122    12.344320 
   12.725007    12.325243 
   12.735632    12.373633 
   12.739921    12.377945 
   12.765705    12.368972 
   12.731437    12.347630 
   12.773287    12.357273 
   12.794464    12.347825 
   12.782845    12.362652 
   12.770292    12.378319 
   12.761010    12.393619 
   12.765835    12.378792 
   12.731042    12.371146 
   12.738045    12.401033 
   12.731300    12.360568 
   12.698378    12.384404 
   12.687248    12.371146 
   12.737874    12.523560 
   12.763160    12.376020 
   12.692605    12.373221 
   12.702443    12.394043 
   12.754285    12.380785 
   12.766983    12.366164 
   12.800011    12.509130 
   12.884546    12.486010 
   12.855435    12.496345 
   12.912392    12.522631 
   12.905824    12.499680 
   12.913160    12.529803 
   12.889167    12.527023 
   12.907350    12.493182 
   12.917602    12.520352 
   12.949181    12.472510 
   12.933606    12.486010 
   12.911919    12.488458 
   12.927761    12.496346 
   12.905232    12.493182 
   12.943654    12.496346 
   12.908363    12.513854 
   12.822708    12.486224 
   12.775062    12.502173 
   12.799152    12.505578 
   12.773874    12.506053 
   12.832967    12.516155 
   12.792330    12.516388 
   12.777270    12.496802 
   12.813001    12.504215 
   12.781520    12.504215 
   12.820564    12.592394 
   12.810237    12.587614 
